url,type_bien,quartier,surface,prix_total,prix_m2_final,date_publication,agence
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1992120?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Darboussèdes,59.0,239000,4051.0,2026-01-21,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1989996?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Pont du Las,63.0,209000,3317.0,2026-01-20,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1990217?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Aguillon,61.0,220000,3607.0,2026-01-20,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1989586?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,La Serinette - La Barre,67.0,179000,2672.0,2026-01-18,
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1985705?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Champs-de-Mars,55.0,149000,2709.0,2026-01-16,
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1980140?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Saint-Roch,81.0,190000,2346.0,2026-01-12,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1963804?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Valbourdin,70.0,225000,3214.0,2026-01-12,
https://www.bienici.com/annonce/vente/toulon/maison/5pieces/safti-1-1582297?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Les Routes,95.0,430000,4526.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gustonimmobilier-5254?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Pont du Las,54.0,139000,2463.0,2026-01-08,GUSTON IMMOBILIER
https://www.bienici.com/annonce/vente/toulon/maison/15pieces/hektor-agencedelavenir-7418?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Le Mourillon - La Mitre - Fort Lamalgue,360.0,1144000,3178.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1964816?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Pont du Las,50.0,130000,2600.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1979039?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Centre-ville,32.0,99000,3094.0,2026-01-08,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1972369?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Pont de Suve,61.0,185000,3033.0,2026-01-08,
