type_bien,quartier,surface_m2,prix_vente,prix_m2,url
Maison,La Serinette - La Barre,223.0,900000,4036.0,https://www.bienici.com/annonce/vente/toulon/maison/9pieces/immo-facile-60146903?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Centre-ville,47.0,125000,2660.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-agencedelavenir-7431?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Maison,Pont de Bois,93.0,385000,4140.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/netty-company38777ezz-house-2710?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Haute-ville,74.0,290000,3919.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-centreville-390626?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Rodeilhac,75.0,230000,3067.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_2305_3567?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Autre bien,La Palasse,50.0,299000,5980.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1997147?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Pont de Suve,41.0,220011,5366.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/mapetiteagence-608466?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Font Pré,82.0,180000,2195.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-2018296?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,75.0,480000,6400.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag311656-514769414?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Aguillon,84.0,270000,3214.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/apimo-86749154?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Valbertrand,65.0,185000,2846.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016673?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Pont du Las,54.0,115000,2130.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2016080?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Saint-Roch,62.0,155500,2508.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016359?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Quartier inconnu,70.0,159900,2284.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939432601?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,L'Escaillon,92.0,265000,2880.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-atlasimmobilier-390510?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Aguillon,68.0,256250,3768.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-1463_EXPERTIMO22-268715?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Place d'Armes,59.0,230000,3898.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag755942-473333747?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Maison,La Chapelle - Saint-André,150.0,659000,4393.0,https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/4pieces/safti-1-1473929?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Ubac - Dardennes - Barbasse - Mont Faron,100.0,290000,2900.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1828680?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Sainte-Anne,132.0,219000,1659.0,https://www.bienici.com/annonce/viager/toulon/appartement/5pieces/iad-france-1812582?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Quartier inconnu,54.0,130000,2407.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939218674?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Bon Rencontre,72.0,205000,2847.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1793594?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,60.0,210000,3500.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939113098?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Maison,Valbertrand,137.0,530000,3869.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1777292?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Haute-ville,175.0,598000,3417.0,https://www.bienici.com/annonce/vente-de-prestige/toulon/appartement/6pieces/hektor-GTIGPI-27457?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Le Cap Brun - Le Petit Bois,40.0,215000,5375.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1780412?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Saint-Jean du Var,123.0,349000,2837.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/ag835481-462277949?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Maison,Brunet,128.0,420000,3281.0,https://www.bienici.com/annonce/vente/toulon/maison/7pieces/twimmo-2010497?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Maison,Barbès,280.0,899000,3211.0,https://www.bienici.com/annonce/vente/toulon/maison/7pieces/hektor-centreville-382503?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Sainte-Musse,72.0,172000,2389.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-fontpre-383772?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Saint-Roch,61.0,120000,1967.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/twimmo-1999605?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Saint-Jean du Var,46.0,99000,2152.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1738153?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Maison,Valbertrand,104.0,514000,4942.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1730773?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Valbourdin,78.0,353400,4531.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-icietla83-34965?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Maison,Le Cap Brun - Le Petit Bois,60.0,680000,11333.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/hektor-igprestige-470?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Pont du Las,67.0,224000,3343.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/century-21-202_2305_3169?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Porte d'Italie,86.0,190000,2209.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-centreville-375140?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Quartier inconnu,54.0,199000,3685.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/nestenn-1-99938927204?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Centre-ville,52.0,110000,2115.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-2_GRECHTOULON2023-103547?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Centre-ville,52.0,110000,2115.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-grechimmo83000-103547?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D32
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,53.0,299000,5642.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-royalimmolavaletteduvar-30153?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Siblas,71.0,370000,5211.0,https://www.bienici.com/annonce/vente-de-prestige/toulon/appartement/3pieces/hektor-agencemistral83-165?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Saint-Roch,33.0,55000,1667.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag832760-489220802?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Maison,La Loubière,126.0,549000,4357.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1907076?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Maison,Ubac - Dardennes - Barbasse - Mont Faron,150.0,618000,4120.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/ag743447-488463059?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Darboussèdes,224.0,150000,670.0,https://www.bienici.com/annonce/viager/toulon/appartement/6pieces/hektor-11_GRECHTOULON2023-112533?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Valbertrand,78.0,247000,3167.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1897305?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Maison,Pont du Las,130.0,379000,2915.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/safti-1-1522784?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Porte d'Italie,50.0,145000,2900.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-centreville-387671?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
Appartement,Champs-de-Mars,46.0,109000,2370.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ladresse-1-adresse-14115410?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D31
