source,date_crawl,type_bien,nb_pieces,surface_m2,prix,prix_m2,quartier,criteres,titre,url
LeBonCoin,2026-03-09,Appartement,4.0,85.0,345000,4059.0,,,Appartement 4 pices 85 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3095760017
LeBonCoin,2026-03-09,Appartement,3.0,69.0,237000,3435.0,,,Appartement 3 pices 69 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154815065
LeBonCoin,2026-03-09,Appartement,5.0,120.0,425000,3542.0,,,Appartement 5 pices 120 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3143083743
LeBonCoin,2026-03-09,Appartement,4.0,142.0,693600,4885.0,,,Appartement en Viager 4 pices 142 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3068068443
LeBonCoin,2026-03-09,Appartement,4.0,96.0,198000,2062.0,,,Appartement 4 pices 96 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154640319
LeBonCoin,2026-03-09,Appartement,3.0,63.0,150000,2381.0,,,Appartement 3 pices 63 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3151751537
LeBonCoin,2026-03-09,Appartement,3.0,57.0,370000,6491.0,,,Appartement 3 pices 57 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3146161105
LeBonCoin,2026-03-09,Appartement,2.0,56.0,120000,2143.0,,,Appartement 2 pices 56 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3130668385
LeBonCoin,2026-03-09,Appartement,4.0,67.0,295000,4403.0,,,Appartement 4 pices 67 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3128532673
LeBonCoin,2026-03-09,Appartement,4.0,76.0,244000,3211.0,,,Appartement 4 pices 76 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3107848057
LeBonCoin,2026-03-09,Appartement,5.0,126.0,259000,2056.0,,,Appartement 5 pices 126 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3091038927
LeBonCoin,2026-03-09,Appartement,3.0,51.0,128000,2510.0,,,Appartement 3 pices 51 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3088151403
LeBonCoin,2026-03-09,Appartement,2.0,52.0,110000,2115.0,,,Appartement 2 pices 52 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2738636776
LeBonCoin,2026-03-09,Appartement,1.0,17.0,82000,4824.0,,,Studio 1 pice 17 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2410365222
LeBonCoin,2026-03-09,Appartement,4.0,85.0,350000,4118.0,,,Appartement 4 pices 85 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3031435334
LeBonCoin,2026-03-09,Appartement,5.0,100.0,315000,3150.0,,,Appartement 5 pices 100 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154381295
LeBonCoin,2026-03-09,Appartement,2.0,37.0,139500,3770.0,,,Appartement 2 pices 37 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3151650705
LeBonCoin,2026-03-09,Appartement,3.0,57.0,369000,6474.0,,,Appartement 3 pices 57 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3143412450
LeBonCoin,2026-03-09,Appartement,4.0,70.0,187000,2671.0,,,Appartement 4 pices 70 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3131288168
LeBonCoin,2026-03-09,Appartement,4.0,67.0,154900,2312.0,,,Appartement 4 pices 67 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3127754586
LeBonCoin,2026-03-09,Appartement,4.0,81.0,185500,2290.0,,,Appartement 4 pices 81 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3038640342
LeBonCoin,2026-03-09,Appartement,4.0,78.0,290000,3718.0,,,Appartement 4 pices 78 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2970181275
LeBonCoin,2026-03-09,Appartement,2.0,36.0,125000,3472.0,,,Appartement 2 pices 36 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3123200978
LeBonCoin,2026-03-09,Appartement,2.0,63.0,145000,2302.0,,,Appartement 2 pices 63 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3117031561
LeBonCoin,2026-03-09,Appartement,2.0,55.0,117000,2127.0,,,Appartement 2 pices 55 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3146162240
LeBonCoin,2026-03-09,Appartement,3.0,86.0,218000,2535.0,,,Appartement 3 pices 86 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3146006585
LeBonCoin,2026-03-09,Appartement,2.0,40.0,102800,2570.0,,,Appartement 2 pices 40 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3136601559
LeBonCoin,2026-03-09,Appartement,9.0,211.0,684000,3242.0,,,Appartement 9 pices 211 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3077918372
LeBonCoin,2026-03-09,Appartement,1.0,26.0,90000,3462.0,,,Appartement 1 pice 26 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3058945348
LeBonCoin,2026-03-09,Appartement,3.0,54.0,209000,3870.0,,,Appartement 3 pices 54 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2892608444
LeBonCoin,2026-03-09,Autre,9.0,150.0,550000,3667.0,,,Immeuble 9 pices 150 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3126521104
LeBonCoin,2026-03-09,Appartement,2.0,46.0,128000,2783.0,,,Appartement 2 pices 46 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3031371301
LeBonCoin,2026-03-09,Appartement,2.0,39.0,272000,6974.0,,,Appartement 2 pices 39 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2860554361
LeBonCoin,2026-03-09,Appartement,2.0,45.0,147500,3278.0,,,Appartement 2 pices 45 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3148680332
